表格信息行,表格名称：,generator,表格注释：,发电机信息,零维数据：,const_A,123,const_B,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
列名称行,ID,Type,Bus,Pmax,Pmin,Ramp_up,Ramp_down,C_start,C_shut,Hmin_on,Hmin_off,C,C,C,C,C,C,C,C,Q,Q,Q,Q,Q,Q,Q,Q,Ahead_PT,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff,Ahead_Uonoff
列序号行,,,,,,,,,,,,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
列注释行,机组编号,"机组类型
1-火力
2-光伏
3-风电
4-水电",所在节点编号,最大出力(100MW),最小出力(100MW),上爬坡容量(100MW),下爬坡容量(100MW),"开机成本
（万元）","关机成本
（万元）",最小运行时间（h）,最小停机时间（h),分段成本信息,,,,,,,,分段报量信息,,,,,,,,"前一日尾部时段
机组出力情况
（做UC时使用）","前一日尾部时段
机组运行状态
（做UC时使用）",,,,,,,,,,,,,,,,,,,,,,,
51,51,1,21,660,180,480,480,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,52,1,21,660,180,480,480,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,53,1,21,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,54,1,21,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,55,1,21,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,56,1,21,350,165,185,185,3800000,2400000,2 ,1,410.000 ,412.300 ,413.200 ,413.300 ,314.500 ,416.700 ,417.700 ,418.200 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,43.750 ,257.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,57,1,30,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,58,1,30,320,125,195,195,3800000,2400000,2 ,1,432.200 ,433.300 ,434.400 ,445.100 ,446.100 ,447.800 ,459.800 ,479.800 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,40.000 ,222.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,59,1,30,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,60,1,30,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,61,1,30,660,180,480,480,3800000,2400000,2 ,1,412.300 ,412.300 ,423.400 ,424.400 ,415.600 ,426.600 ,457.700 ,458.800 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,82.500 ,420,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
